Text,Date,Keyword
thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ,Mon Apr 06 22:21:09 PDT 2009,general
@julieebaby awe i love you too!!!! 1 am here  i miss you,Mon Apr 06 22:21:11 PDT 2009,general
@HumpNinja I cry my asian eyes to sleep at night ,Mon Apr 06 22:21:21 PDT 2009,general
ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ,Mon Apr 06 22:21:20 PDT 2009,general
@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...,Mon Apr 06 22:21:27 PDT 2009,general
@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge,Mon Apr 06 22:21:30 PDT 2009,general
@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ,Mon Apr 06 22:21:32 PDT 2009,general
Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ,Mon Apr 06 22:21:39 PDT 2009,general
really don't feel like getting up today... but got to study to for tomorrows practical exam... ,Mon Apr 06 22:21:39 PDT 2009,general
He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,Mon Apr 06 22:21:46 PDT 2009,general
"Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!",Mon Apr 06 22:21:49 PDT 2009,general
@JonathanRKnight Awww I soo wish I was there to see you finally comfortable! Im sad that I missed it ,Mon Apr 06 22:21:53 PDT 2009,general
Falling asleep. Just heard about that Tracy girl's body being found. How sad  My heart breaks for that family.,Mon Apr 06 22:21:56 PDT 2009,general
@Viennah Yay! I'm happy for you with your job! But that also means less time for me and you... ,Mon Apr 06 22:22:05 PDT 2009,general
"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?",Mon Apr 06 22:22:06 PDT 2009,general
Oh man...was ironing @jeancjumbe's fave top to wear to a meeting. Burnt it ,Mon Apr 06 22:22:07 PDT 2009,general
is strangely sad about LiLo and SamRo breaking up. ,Mon Apr 06 22:22:13 PDT 2009,general
@tea oh! i'm so sorry  i didn't think about that before retweeting.,Mon Apr 06 22:22:25 PDT 2009,general
Broadband plan 'a massive broken promise' http://tinyurl.com/dcuc33 via www.diigo.com/~tautao Still waiting for broadband we are ,Mon Apr 06 22:22:23 PDT 2009,general
"@localtweeps Wow, tons of replies from you, may have to unfollow so I can see my friends' tweets, you're scrolling the feed a lot. ",Mon Apr 06 22:22:24 PDT 2009,general
our duck and chicken are taking wayyy too long to hatch ,Mon Apr 06 22:22:26 PDT 2009,general
"Put vacation photos online a few yrs ago. PC crashed, and now I forget the name of the site. ",Mon Apr 06 22:22:30 PDT 2009,general
I need a hug ,Mon Apr 06 22:22:32 PDT 2009,general
"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! ",Mon Apr 06 22:22:37 PDT 2009,general
@oanhLove I hate when that happens... ,Mon Apr 06 22:22:47 PDT 2009,general
"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm",Mon Apr 06 22:22:47 PDT 2009,general
Ugh....92 degrees tomorrow ,Mon Apr 06 22:22:49 PDT 2009,general
Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.,Mon Apr 06 22:22:49 PDT 2009,general
"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?",Mon Apr 06 22:22:52 PDT 2009,general
just leaving the parking lot of work! ,Mon Apr 06 22:22:55 PDT 2009,general
The Life is cool. But not for Me. ,Mon Apr 06 22:23:03 PDT 2009,general
"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. ",Mon Apr 06 22:23:08 PDT 2009,general
I had such a nice day. Too bad the rain comes in tomorrow at 5am ,Mon Apr 06 22:23:09 PDT 2009,general
@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,Mon Apr 06 22:23:15 PDT 2009,general
Damm back to school tomorrow ,Mon Apr 06 22:23:23 PDT 2009,general
"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?",Mon Apr 06 22:23:28 PDT 2009,general
@katortiz  Not forever... See you soon!,Mon Apr 06 22:23:28 PDT 2009,general
"@Lt_Algonquin agreed, I saw the failwhale allllll day today. ",Mon Apr 06 22:23:30 PDT 2009,general
@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!,Mon Apr 06 22:23:35 PDT 2009,general
@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!,Mon Apr 06 22:23:39 PDT 2009,general
i really hate how people diss my bands!  Trace is clearly NOT ugly!,Mon Apr 06 22:23:43 PDT 2009,general
"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls.",Mon Apr 06 22:23:43 PDT 2009,general
Why won't you show my location?!   http://twitpic.com/2y2es,Mon Apr 06 22:23:45 PDT 2009,general
No picnic  my phone smells like citrus.,Mon Apr 06 22:25:44 PDT 2009,general
"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. ",Mon Apr 06 22:25:44 PDT 2009,general
No new csi tonight.  FML,Mon Apr 06 22:25:45 PDT 2009,general
i think my arms are sore from tennis ,Mon Apr 06 22:25:46 PDT 2009,general
wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . ,Mon Apr 06 22:25:49 PDT 2009,general
sleep soon... i just hate saying bye and see you tomorrow for the night. ,Mon Apr 06 22:25:52 PDT 2009,general
"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine ",Mon Apr 06 22:25:53 PDT 2009,general
missin' the boo ,Mon Apr 06 22:25:53 PDT 2009,general
@markhardy1974 Me too  #itm,Mon Apr 06 22:25:54 PDT 2009,general
Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ,Mon Apr 06 22:25:54 PDT 2009,general
"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too ",Mon Apr 06 22:25:56 PDT 2009,general
@msdrama hey missed ya at the meeting  sup mama,Mon Apr 06 22:26:02 PDT 2009,general
"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!",Mon Apr 06 22:26:06 PDT 2009,general
why is it always the fat ones?! ,Mon Apr 06 22:26:08 PDT 2009,general
"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*",Mon Apr 06 22:26:10 PDT 2009,general
@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad ,Mon Apr 06 22:26:10 PDT 2009,general
wednesday my b-day! don't know what 2 do!! ,Mon Apr 06 22:26:14 PDT 2009,general
Poor cameron (the hills) ,Mon Apr 06 22:26:18 PDT 2009,general
"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache ",Mon Apr 06 22:26:21 PDT 2009,general
"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike",Mon Apr 06 22:26:22 PDT 2009,general
Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435,Mon Apr 06 22:26:27 PDT 2009,general
"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL.....",Mon Apr 06 22:26:28 PDT 2009,general
"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",Mon Apr 06 22:26:29 PDT 2009,general
"@stark YOU don't follow me, either  and i work for you!",Mon Apr 06 22:26:29 PDT 2009,general
A bad nite for the favorite teams: Astros and Spartans lose.  The nite out with T.W. was good.,Mon Apr 06 22:26:33 PDT 2009,general
 Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji,Mon Apr 06 22:26:33 PDT 2009,general
"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... ",Mon Apr 06 22:26:38 PDT 2009,general
Behind on my classes for work ,Mon Apr 06 22:26:42 PDT 2009,general
watching &quot;House&quot; ,Mon Apr 06 22:26:43 PDT 2009,general
@kpreyes Remember my bum leg? Strikes back this time its serious ,Mon Apr 06 22:26:45 PDT 2009,general
"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls ",Mon Apr 06 22:26:45 PDT 2009,general
Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014,Mon Apr 06 22:26:48 PDT 2009,general
would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?,Mon Apr 06 22:26:49 PDT 2009,general
@Henkuyinepu it's overrated ,Mon Apr 06 22:26:52 PDT 2009,general
@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,Mon Apr 06 22:26:54 PDT 2009,general
laying in bed with no voice.. ,Mon Apr 06 22:26:54 PDT 2009,general
I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy,Mon Apr 06 22:26:57 PDT 2009,general
@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.,Mon Apr 06 22:27:00 PDT 2009,general
"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. ",Mon Apr 06 22:26:58 PDT 2009,general
@salancaster  hope your ok.,Mon Apr 06 22:27:02 PDT 2009,general
@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love,Mon Apr 06 22:27:08 PDT 2009,general
@HibaNick yeah aw but i know i wudnt stand a chance ,Mon Apr 06 22:27:15 PDT 2009,general
ugh. cant sleep. its 1:30am. ,Mon Apr 06 22:27:16 PDT 2009,general
Hanging in Crooners. Wanna sing. Can't. Sucks. ,Mon Apr 06 22:27:16 PDT 2009,general
@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! ,Mon Apr 06 22:27:18 PDT 2009,general
Is pissed off that there's no ASBA's for a radio station. ,Mon Apr 06 22:27:21 PDT 2009,general
wednesday my b-day n don't know what 2 do!  ,Mon Apr 06 22:27:22 PDT 2009,general
I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. ,Mon Apr 06 22:27:25 PDT 2009,general
I am in pain. My back and sides hurt. Not to mention crying is made of fail. ,Mon Apr 06 22:27:31 PDT 2009,general
"Late night snack, glass of OJ b/c I'm &quot;down with the sickness&quot;, then back to sleep...ugh I hate getting sick... ",Mon Apr 06 22:27:34 PDT 2009,general
@allyheman but.. but.. but.. I'm not a big fan on camilla belle ,Mon Apr 06 22:27:35 PDT 2009,general
"@grum WAH I can't see clip, must be el-stupido work filters. Can't wait 'till I get a 'puter. Something else 2 blame ex 4. He broke mine ",Mon Apr 06 22:27:45 PDT 2009,general
This week just seems to get longer and longer in terms of how much I need to do.. and how much I'm actually going to get done ,Mon Apr 06 22:27:45 PDT 2009,general
I'm so cold ,Mon Apr 06 22:27:55 PDT 2009,general
@thecoolestout Ehhh don't. Weather's gonna take a turn for the ugly tomorrow ,Mon Apr 06 22:27:56 PDT 2009,general
@chelserlynn haha its so cooooold in the d! and no  but you should still go to the show. they do some incredible stuff,Mon Apr 06 22:27:56 PDT 2009,general
Hoping the tummy rumbles go away soon ,Mon Apr 06 22:27:57 PDT 2009,general
"@Knights_ No, no notice. They told me I'd be working tomorrow, and then I called the agency to follow up and they said it was over. ",Mon Apr 06 22:28:02 PDT 2009,general
almost bedtime ,Mon Apr 06 22:28:03 PDT 2009,general
I'm missing you babe..  but as long as your alive I'm happy.. Yawwwnn.. I'm tired my love imma try to sleep hopefully you had a headstart,Mon Apr 06 22:28:04 PDT 2009,general
Agh...snow!!! ,Mon Apr 06 22:28:05 PDT 2009,general
i miss kenny powers ,Mon Apr 06 22:28:07 PDT 2009,general
"@BridgetsBeaches Thank you for letting people know, but now I'm sad that the direct message I got wasn't actually from Bridget ",Mon Apr 06 22:28:09 PDT 2009,general
"...and, India missed out its 100th Test victory n 10th consecutive win without a loss. ",Mon Apr 06 22:28:11 PDT 2009,general
@JonathanRKnight I guess that's a no then. ,Mon Apr 06 22:28:11 PDT 2009,general
sadly is going to bed. ,Mon Apr 06 22:28:15 PDT 2009,general
@ozesteph1992 Shame to hear this Stephan ,Mon Apr 06 22:28:18 PDT 2009,general
@mrsaintnick hey! i'm leavin in the morning... ,Mon Apr 06 22:28:21 PDT 2009,general
"Was intending to finish editing my 536-page novel manuscript tonight, but that will probably not happen. And only 12 pages are left ",Mon Apr 06 22:28:23 PDT 2009,general
laid around too much today... now my head hurts ,Mon Apr 06 22:28:24 PDT 2009,general
@twista202 I still haven't read the 9th&amp;10th Princess diaries  Saving Francesca made me cry at the end. Hmm those are easy books.,Mon Apr 06 22:28:24 PDT 2009,general
my nokia 1110 died..  ,Mon Apr 06 22:28:26 PDT 2009,general
My mom might have breast cancer won't find out anything for. Like a week I'm so worried! ,Mon Apr 06 22:28:26 PDT 2009,general
Going to sleep. Hoping tomorrow is a better day. ,Mon Apr 06 22:28:33 PDT 2009,general
@rumblepurr lol.. wish they understood daylight savings has ended though and breakfast is an hour later  They keep waking the kids up too,Mon Apr 06 22:28:32 PDT 2009,general
@onemoreproject that is lame ,Mon Apr 06 22:28:32 PDT 2009,general
I don't understand... I really don't ,Mon Apr 06 22:28:38 PDT 2009,general
HEROES just isn't doing it for me this season... ,Mon Apr 06 22:28:38 PDT 2009,general
Living not downtown sure isn't much fun.  ,Mon Apr 06 22:28:45 PDT 2009,general
@jonathanchard Not calorie wise   I wish junk food was calorie free! I ate a thing of sour skittles and a big ass cherry coke!,Mon Apr 06 22:28:48 PDT 2009,general
Man Work is Hard ,Mon Apr 06 22:28:51 PDT 2009,general
"getting sick  time for some hot tea, studying, and then sleeeep",Mon Apr 06 22:30:34 PDT 2009,general
Getting eyebrows waxed. More pain ,Mon Apr 06 22:30:34 PDT 2009,general
No phantasy star yesterday  going to work...,Mon Apr 06 22:30:45 PDT 2009,general
Oh - Just got all my MacHeist 3.0 apps - sweet. Didn't get the Espresso serial no though although they said they sent it - oh well ,Mon Apr 06 22:30:50 PDT 2009,general
Picked Mich St to win it all from the get go.  Was feeling pretty good about that pick all the way up until......tonight.  A's lost too ,Mon Apr 06 22:30:54 PDT 2009,general
is alone downstairs...working ,Mon Apr 06 22:30:55 PDT 2009,general
I feel bad for doing it ,Mon Apr 06 22:30:56 PDT 2009,general
"@RyanSeacrest is it just me, or she hates anoop. i mean seriously, she's kinda mean to him. ",Mon Apr 06 22:31:05 PDT 2009,general
@pinkserendipity yes sprint has 4g only in baltimore and chicago so far ,Mon Apr 06 22:31:09 PDT 2009,general
I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. ,Mon Apr 06 22:31:15 PDT 2009,general
Thanks for bursting my bubble ,Mon Apr 06 22:31:18 PDT 2009,general
Going to school soon... can't find anything to wear!! gosh it's so hard ,Mon Apr 06 22:31:29 PDT 2009,general
@marieclr I was serious  LOL,Mon Apr 06 22:31:31 PDT 2009,general
@naughtyhaughty I had on my page for sooooo long!!! Until it got deleted  Sad day in history,Mon Apr 06 22:31:37 PDT 2009,general
Crazy wind today = no birding  http://ff.im/1XTTi,Mon Apr 06 22:31:35 PDT 2009,general
currently at work.. ,Mon Apr 06 22:31:40 PDT 2009,general
Grrr.. my ipods acting weird too! Jai ho and thinking of you aren't playing the full songs.. ughh. ,Mon Apr 06 22:31:41 PDT 2009,general
@penndbad send me the DVD cos I have missed out on heaps  NOT happy about that!,Mon Apr 06 22:31:43 PDT 2009,general
i don't see the big deal with this website ,Mon Apr 06 22:31:45 PDT 2009,general
@machineplay I'm so sorry you're having to go through this. Again.  #therapyfail,Mon Apr 06 22:31:48 PDT 2009,general
@ColinDeMar Far too out of the way for rail.  any other tips?,Mon Apr 06 22:31:50 PDT 2009,general
I'm not still up I swear. Why do I keep losing. gaining. losing. gaining. tweeps?  So heart wrenching.,Mon Apr 06 22:31:54 PDT 2009,general
"Today I realized I am too good at hiding things, even I can't find it ",Mon Apr 06 22:31:56 PDT 2009,general
"Staying at a friends house...house sitting, neighbors are SO loud-having a party ",Mon Apr 06 22:31:57 PDT 2009,general
@dannyvegasbaby danny im upset that i wasnt here to watch the live chat  i was in a car. for 3 hours on a trip im soooo upset!!,Mon Apr 06 22:31:59 PDT 2009,general
Check out my mug  http://www.erika-obscura.blogspot.com,Mon Apr 06 22:32:02 PDT 2009,general
Borders closed at 10 ,Mon Apr 06 22:32:06 PDT 2009,general
Downloading NIN's new album &quot;the slip&quot; - when the hell did this come out? I'm so behind the times these days ,Mon Apr 06 22:32:12 PDT 2009,general
Just woke up an already have written some e-mail... I've to go early at University today as I have to teach at 8:30 AM! ,Mon Apr 06 22:32:16 PDT 2009,general
is watching the hill . . .and its making me sad ,Mon Apr 06 22:32:20 PDT 2009,general
So many channels.... yet so so boring... lazy day again  may have to find a hobby,Mon Apr 06 22:32:22 PDT 2009,general
@supersport I miss my buddy  ill be in NY on the 25th,Mon Apr 06 22:32:23 PDT 2009,general
@robluketic  love the french. I tell people here in the south i'm qtr. french and they snarl at me.  french are beautiful people,Mon Apr 06 22:32:28 PDT 2009,general
Opps.. As I said.. I still got one day remain and now problem come ,Mon Apr 06 22:32:28 PDT 2009,general
"I activated my Selfcontrol block early, meaning I can't check out the new QC.  Regularizing my internal clock is might be difficult. #fb",Mon Apr 06 22:32:30 PDT 2009,general
@HillyDoP  oH NO,Mon Apr 06 22:32:31 PDT 2009,general
spencer is not a good guy. ,Mon Apr 06 22:32:36 PDT 2009,general
"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman.",Mon Apr 06 22:32:35 PDT 2009,general
"@JonathanRKnight I hate the limited letters,too.Hope you and the guys are fine?I pray for my dog,she�s not well ",Mon Apr 06 22:32:38 PDT 2009,general
didn't get shit done today ~ i'm so screwed ,Mon Apr 06 22:32:40 PDT 2009,general
wanttss to go out ,Mon Apr 06 22:32:50 PDT 2009,general
Is not going to sleep tonite. ,Mon Apr 06 22:32:51 PDT 2009,general
too worried and tired to post tonight ,Mon Apr 06 22:32:54 PDT 2009,general
couldn't get shit done today ~ i'm so screwed ,Mon Apr 06 22:32:58 PDT 2009,general
"Job Interview in Cardiff today, wish me luck! Got about 3 hours sleep ",Mon Apr 06 22:33:00 PDT 2009,general
"@stustone Your show is whack. Way worse than whack, it's wiggety-whack.    :*(:*(:*(",Mon Apr 06 22:33:01 PDT 2009,general
@DjAlizay I really don't think people choose to be that way. But I think he chose not to accept my family's help   He might be dead by now,Mon Apr 06 22:33:11 PDT 2009,general
"@eloquentembrace You're going to kill me, but I've not seen DS9. I've been waiting till I can do it in one solid week sitting. ",Mon Apr 06 22:33:13 PDT 2009,general
@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! ,Mon Apr 06 22:33:13 PDT 2009,general
i hate to see the spartans so sad ,Mon Apr 06 22:33:16 PDT 2009,general
My mind and body are severely protesting this &quot;getting up&quot;  thing. Had nightmares to boot ,Mon Apr 06 22:33:20 PDT 2009,general
"@MySteezRadio I'm goin' to follow u, since u didn't  LOL  GO ANGELS!",Mon Apr 06 22:33:21 PDT 2009,general
@mandayyy ,Mon Apr 06 22:33:25 PDT 2009,general
@twista202 I think I want to read some books but the library doesn't have them ,Mon Apr 06 22:33:31 PDT 2009,general
My nap was interrupted so many times today  Going out for Japanese with the 'rents again...,Mon Apr 06 22:33:32 PDT 2009,general
Kind of longs for the bus that shows up at the end of Ghost World right now. Ugh. ,Mon Apr 06 22:33:32 PDT 2009,general
@GuruMN but this is canada  canada is weird. we're supposed to get snow through wednesday. ugh.,Mon Apr 06 22:33:34 PDT 2009,general
Awwh babs... you look so sad underneith that shop entrance of &quot;Yesterday's Musik&quot;  O-: I like the look of the new transformer movie ,Mon Apr 06 22:33:35 PDT 2009,general
sad that the 'feet' of my macbook just fell off ,Mon Apr 06 22:33:35 PDT 2009,general
I'm gonna get up late tomorrow and it's 132am here. I gonna get tipsy by my lonesome. That's...that's just sad ,Mon Apr 06 22:33:44 PDT 2009,general
"I'm sweating my forthcoming trip to E3.  If I can't find someone to crash with while I'm out there, I may be screwed.  ",Mon Apr 06 22:35:29 PDT 2009,general
"Has now gotten somebody to read his tweets, but cant get them to make an account. ",Mon Apr 06 22:35:29 PDT 2009,general
@infinitydefines  omgawd i couldnt handle my cat being in heat all the time D: D:,Mon Apr 06 22:35:31 PDT 2009,general
@DonnieWahlberg I hope i can make it to the auburn show. but its not looking good for me ,Mon Apr 06 22:35:31 PDT 2009,general
@David_Henrie *thats people mag haha i couldnt fit it all in.. i dont think those pictures ever made it in the magazine tho!  haha,Mon Apr 06 22:35:35 PDT 2009,general
@breadandbadger Congrats!!  i totally forgot to submit photos ,Mon Apr 06 22:35:36 PDT 2009,general
"@PaulaAbdul awww, Good luck Paula!! Please don't work too hard  but I hope you have fun  Your new album is gonna be amazing!  xxx",Mon Apr 06 22:35:40 PDT 2009,general
@imaginarypeach now your leaving me  .... -gets sad-,Mon Apr 06 22:35:40 PDT 2009,general
"I miss you twitter. My phone broke, now I'm using a stupid Nokia phone. Ughhh, I miss my advance phone. ",Mon Apr 06 22:35:41 PDT 2009,general
SHOOTING OUTSIDE MY HOUSE :O NOT KIDDING! So SCARED ,Mon Apr 06 22:35:43 PDT 2009,general
Tuesday�ll start with reflection �n then a lecture in Stress reducing techniques. That sure might become very useful for us accompaniers ,Mon Apr 06 22:35:44 PDT 2009,general
What tragedy and disaster in the news this week ,Mon Apr 06 22:35:46 PDT 2009,general
yes yes still trying to find a picture that will upload correclty.. ,Mon Apr 06 22:35:46 PDT 2009,general
Why oh why was the Red Sox game rained out? I was so looking forward to opening day ,Mon Apr 06 22:35:51 PDT 2009,general
I still can't find my keys. ,Mon Apr 06 22:35:50 PDT 2009,general
@charlietm I know right. I dunno what is going on with twitter. ,Mon Apr 06 22:35:50 PDT 2009,general
might be getting a sore throat again ,Mon Apr 06 22:35:50 PDT 2009,general
@labelsnotlove   my home town. My mammy called all depressd.  Pls explain y a parent let their 8yr old child walk alone? Hello? Its 2009!,Mon Apr 06 22:35:51 PDT 2009,general
@ircmaxell - I think I need to find better anti-depressants.  I think this Paxil/Wellbutrin combo is losing its efficacy.  ,Mon Apr 06 22:35:51 PDT 2009,general
@MyConnecticut Restaurant called WoodNTap has competitive eating tourney round tourney time. We place 2nd ,Mon Apr 06 22:35:52 PDT 2009,general
is in the bathroom... wake up lakin. ,Mon Apr 06 22:35:56 PDT 2009,general
@CaitlinOConnor i want tacos and margarhitas  telll gay i say hello&lt;3,Mon Apr 06 22:35:59 PDT 2009,general
"im lonely  keep me company! 22 female, california",Mon Apr 06 22:35:59 PDT 2009,general
bad day at the betfair office ,Mon Apr 06 22:36:02 PDT 2009,general
I miss him.  Can't wait to celebrate the Tar Heel win this weekend though!!,Mon Apr 06 22:36:03 PDT 2009,general
I'm really cold. I don't want to go to sleep yet but there's nothing to do ,Mon Apr 06 22:36:06 PDT 2009,general
@kristencampisi is this it 4 u? Its ' officially over ' 4 me this go round! ,Mon Apr 06 22:36:06 PDT 2009,general
monkeys??? i just found out you my twin and you wont even write back.  i'm heartbroken,Mon Apr 06 22:36:10 PDT 2009,general
@miss_om Aww  I know I felt like that yesterday at work ,Mon Apr 06 22:36:15 PDT 2009,general
@SarahReedSC treaty isn't defined ,Mon Apr 06 22:36:16 PDT 2009,general
missed Brent at praise band.   No fun to not have the your lead guitarist.  &lt;pout&gt;,Mon Apr 06 22:36:19 PDT 2009,general
@jpfurry poor john  this is what happens when you play with fruit and a microwave! Seriously though HAVE you seen a doctor?? Xxx,Mon Apr 06 22:36:20 PDT 2009,general
Missing My BFF  watching home and away it reminds me of her and me  we &lt;3 It. shout out to u courts,Mon Apr 06 22:36:26 PDT 2009,general
@mandayyy   ,Mon Apr 06 22:36:27 PDT 2009,general
New video card is DOA. ,Mon Apr 06 22:36:33 PDT 2009,general
"feeling lost, naked and confused (JK, sort of).....no iphone for me. ",Mon Apr 06 22:36:38 PDT 2009,general
"Damn i am so late at filling this appraisal form, people have almost sent it .. i was so occupied in work ",Mon Apr 06 22:36:39 PDT 2009,general
missed Brent at praise band.  No fun to not have your lead guitarist. &lt;pout&gt;,Mon Apr 06 22:36:51 PDT 2009,general
